date,TWII,TWII_Open,TWII_High,TWII_Low,SOX,TSMC_TW,TSMC_Vol,TSM_US,ELEC,FIN,USDTWD,ADR_Premium
2019-01-02,9554.1396484375,9725.26953125,9737.6796875,9542.51953125,1165.300048828125,184.353759765625,32900482,31.076700210571289,25.34815788269043,12.727760314941406,30.500999450683594,2.831688082386008
2019-01-03,9492.419921875,9494.25,9554.5302734375,9474.4697265625,1096.030029296875,180.99424743652344,34087620,29.238651275634766,24.933023452758789,12.649914741516113,30.759000778198242,-0.62096336447060585
2019-01-04,9382.509765625,9427.240234375,9427.240234375,9319.2802734375,1143.9599609375,174.69511413574219,65943521,29.757728576660156,24.086143493652344,12.610992431640625,30.863000869750977,5.1446467162954201
2019-01-07,9590.2998046875,9460.2001953125,9596.349609375,9460.2001953125,1166.239990234375,178.89456176757812,35442176,29.978975296020508,24.692245483398438,12.727760314941406,30.783000946044922,3.1717024576548791
2019-01-08,9563.599609375,9591.5595703125,9600.9404296875,9547.6298828125,1160.550048828125,177.21473693847656,22694481,29.732189178466797,24.468070983886719,12.782252311706543,30.802999496459961,3.3594185353689188
2019-01-09,9738.3095703125,9584.6298828125,9741.6396484375,9584.6298828125,1189.8399658203125,180.99424743652344,46295446,30.302335739135742,25.082468032836914,12.992434501647949,30.815999984741211,3.1852438296219532
2019-01-10,9720.6904296875,9731.1103515625,9731.1103515625,9683.2001953125,1201.4000244140625,181.4141845703125,20754593,30.991596221923828,25.082468032836914,12.922374725341797,30.711000442504883,4.9292730378029948
2019-01-11,9759.400390625,9753.6298828125,9796.98046875,9736,1213.0400390625,185.19364929199219,28102288,31.153287887573242,25.24022102355957,12.914589881896973,30.778999328613281,3.5529059059558943
2019-01-14,9708.2197265625,9737.669921875,9762.3701171875,9677.490234375,1194.280029296875,183.51387023925781,17612296,30.429983139038086,25.099075317382812,12.821175575256348,30.785999298095703,2.0977257291894702
2019-01-15,9806.0400390625,9701.9296875,9806.0400390625,9701.9296875,1197.030029296875,185.61360168457031,38882923,30.668252944946289,25.364761352539062,12.937943458557129,30.833999633789062,1.8917677897774654
2019-01-16,9763.8095703125,9781.349609375,9803.990234375,9763.8095703125,1187.18994140625,182.67398071289062,28978282,30.327854156494141,25.406278610229492,12.844528198242188,30.827999114990234,2.3623679132951159
2019-01-17,9789.150390625,9773.3095703125,9826.25,9759.509765625,1200.760009765625,185.19364929199219,21163986,30.880985260009766,25.572330474853516,12.844528198242188,30.764999389648438,2.601087705551608
2019-01-18,9836.0595703125,9781.3896484375,9842.7998046875,9771.150390625,1228.3299560546875,183.51387023925781,49627569,31.349008560180664,25.61384391784668,12.805605888366699,30.826999664306641,5.3212898949913878
2019-01-21,9889.400390625,9870.26953125,9919.9404296875,9870.26953125,1228.3299560546875,185.61360168457031,29384866,31.349008560180664,25.838014602661133,12.891234397888184,30.853000640869141,4.2176836632407788
2019-01-22,9894.66015625,9880.5400390625,9894.66015625,9855.4697265625,1193.3599853515625,187.2933349609375,28926483,30.949054718017578,25.696870803833008,12.922374725341797,30.875999450683594,2.0413242865248371
2019-01-23,9846.400390625,9869.5400390625,9873.3896484375,9828.0302734375,1185.949951171875,185.19364929199219,16671213,31.051177978515625,25.846321105957031,12.945727348327637,30.87700080871582,3.5421302209484695
2019-01-24,9877.1201171875,9865,9892.8203125,9847.3203125,1253.9100341796875,186.87342834472656,26417924,32.029762268066406,25.846321105957031,12.906805038452148,30.857999801635742,5.7800893866165826
2019-01-25,9969.6103515625,9923.3896484375,9980.080078125,9918.2099609375,1281.1600341796875,189.81300354003906,46692764,32.455230712890625,26.153518676757812,12.930160522460938,30.874000549316406,5.5799963300838362
2019-01-28,10013.330078125,10006.4599609375,10020.599609375,9990.0703125,1254.4000244140625,192.33262634277344,26026257,31.859563827514648,26.236547470092773,13.000221252441406,30.708000183105469,1.7345325597941441
2019-01-29,9931.58984375,9944.7099609375,9952.33984375,9893.9599609375,1236.25,186.87342834472656,41122520,30.915018081665039,25.904439926147461,13.008002281188965,30.788000106811523,1.8669789954910865
2019-01-30,9932.259765625,9915.9697265625,9959.0302734375,9909.8095703125,1271.760009765625,185.61360168457031,44755945,31.808509826660156,25.796501159667969,13.039143562316895,30.781000137329102,5.4984911080523169
2019-02-11,10004.25,10029.83984375,10065.51953125,9988.830078125,1308.8800048828125,191.49276733398438,78307106,32.582874298095703,26.361085891723633,13.078064918518066,30.819999694824219,4.8816819459675198
2019-02-12,10097.740234375,10032.080078125,10100.23046875,10032.080078125,1336.719970703125,193.17251586914062,29406670,32.880710601806641,26.718103408813477,13.000221252441406,30.87700080871582,5.1140969278355097
2019-02-13,10090.580078125,10123.6103515625,10140.98046875,10074.33984375,1340.7099609375,192.33262634277344,28634925,32.446720123291016,26.61016845703125,13.078064918518066,30.791999816894531,3.8928671742483711
2019-02-14,10089.009765625,10095.990234375,10135.6201171875,10082,1344.1099853515625,190.65284729003906,23647751,32.387161254882812,26.61016845703125,13.116988182067871,30.851999282836914,4.819696113814409
2019-02-15,10064.7802734375,10111.1796875,10135.16015625,10055.5,1351.1800537109375,190.65284729003906,22369799,32.412685394287109,26.56035041809082,13.093635559082031,30.820999145507812,4.7968979263317113
2019-02-18,10145.2802734375,10096.9404296875,10165.76953125,10096.9404296875,1351.1800537109375,193.17251586914062,16978916,32.412685394287109,26.81773567199707,13.140341758728027,30.812000274658203,3.3997685206653028
2019-02-19,10152.259765625,10152.1103515625,10173.4697265625,10143.150390625,1348.489990234375,192.33262634277344,16577023,32.7275390625,26.734708786010742,13.155910491943359,30.818000793457031,4.8805232866220072
2019-02-20,10272.4599609375,10181.9404296875,10272.4599609375,10181.9404296875,1360.280029296875,196.95196533203125,30479710,33.187053680419922,26.92567253112793,13.179265022277832,30.778999328613281,3.727251589113445
2019-02-21,10319.5302734375,10282.3203125,10319.5302734375,10256.5302734375,1350.25,198.6317138671875,33764489,33.170040130615234,27.108333587646484,13.225972175598145,30.791999816894531,2.8407649255058454
2019-02-22,10322.919921875,10309.01953125,10322.919921875,10269.9501953125,1364.780029296875,198.6317138671875,22032163,33.518928527832031,27.249479293823242,13.225972175598145,30.798999786376953,3.9460872052435647
2019-02-25,10390.9296875,10343.4501953125,10390.9296875,10343.4501953125,1375.949951171875,199.89157104492188,24105138,33.68060302734375,27.432136535644531,13.257110595703125,30.746999740600586,3.6139230015139523
2019-02-26,10391.5498046875,10403.0302734375,10416.91015625,10368.8603515625,1366.5799560546875,201.1513671875,24522789,33.697620391845703,27.498558044433594,13.288248062133789,30.735000610351562,2.9768176862914775
2019-02-27,10389.169921875,10385.8095703125,10403.0498046875,10343.5595703125,1349.8699951171875,200.73143005371094,35240889,33.569984436035156,27.498558044433594,13.327171325683594,30.753000259399414,2.8615937019114357
2019-03-04,10349.8798828125,10385.25,10402.3896484375,10313.1796875,1363.25,197.79185485839844,39655513,33.314704895019531,27.174751281738281,13.280463218688965,30.836999893188477,3.8794597507362027
2019-03-05,10305.259765625,10323.25,10334.33984375,10295.4404296875,1356.9000244140625,195.69212341308594,22641407,33.204063415527344,27.332502365112305,13.280463218688965,30.83799934387207,4.6487582599809008
2019-03-06,10357.150390625,10328.1796875,10359.1201171875,10327.900390625,1333.8199462890625,196.531982421875,20433226,33.008354187011719,27.249479293823242,13.350523948669434,30.829999923706055,3.5605039471646283
