date,ml,ms
2019-01-02,0,0
2019-01-03,1,0
2019-01-04,1,0
2019-01-07,1,0
2019-01-08,1,1
2019-01-09,2,0
2019-01-10,3,0
2019-01-11,3,0
2019-01-14,2,0
2019-01-15,3,0
2019-01-16,2,0
2019-01-17,2,0
2019-01-18,1.5,0.5
2019-01-21,1,0
2019-01-22,1,0
2019-01-23,1,0
2019-01-24,1,0
2019-01-25,1.5,0.5
2019-01-28,1,0
2019-01-29,3,0
2019-01-30,3,0
2019-02-11,3.5,0.5
2019-02-12,3,1
2019-02-13,3,1
2019-02-14,3,1
2019-02-15,3,1
2019-02-18,3,1
2019-02-19,3,1
2019-02-20,3,1.5
2019-02-21,4,1.5
2019-02-22,4,1
2019-02-25,6,1
2019-02-26,4,1
2019-02-27,3,1
2019-03-04,3,1
2019-03-05,3,3
2019-03-06,3,1
2019-03-07,2,2
2019-03-08,1,4
2019-03-11,2,6
2019-03-12,2,2
2019-03-13,2,2
2019-03-14,2,2
2019-03-15,2,2
2019-03-18,4,1
2019-03-19,3,1
2019-03-20,2,2.5
2019-03-21,6,1.5
2019-03-22,3,3.5
2019-03-25,3,1
2019-03-26,3,1
2019-03-27,3,1
2019-03-28,2,2
2019-03-29,2,2
2019-04-01,5.5,1.5
2019-04-02,5,1
2019-04-03,5,1
2019-04-08,4.5,1.5
2019-04-09,3,1
2019-04-10,6,1
2019-04-11,6.5,1.5
2019-04-12,9.5,0.5
2019-04-15,5.5,0.5
2019-04-16,5.5,0.5
2019-04-17,9.5,0.5
2019-04-18,9.1666666666666661,0.5
2019-04-19,9.5357142857142847,0.75
2019-04-22,8,0.5
2019-04-23,7.7777777777777777,0.5
2019-04-24,7.5999999999999996,0.5
2019-04-25,6,0.5
2019-04-26,6.704545454545455,2.25
2019-04-29,4.3235294117647056,2.0306122448979593
2019-04-30,4.1923076923076925,1.7266666666666666
2019-05-02,4.0768194070080863,2.0882352941176472
2019-05-03,5.4634357762017336,1.8153846153846154
2019-05-06,2.5,4.5487179487179485
2019-05-07,1.8818181818181818,2.7843665768194072
2019-05-08,1.5,4.9666666666666668
2019-05-09,2,6.6607142857142856
2019-05-10,1,4.6411764705882357
2019-05-13,1.5,9.8333333333333321
2019-05-14,2.8333333333333335,8.9235588972431081
2019-05-15,2,7.5068376068376068
2019-05-16,2.6428571428571428,8.3317460317460306
2019-05-17,2,7.8030303030303028
2019-05-20,1.5,4.1348814229249014
2019-05-21,3.3727272727272726,4.3754901960784309
2019-05-22,1.5,5.5020512820512826
2019-05-23,2.8913043478260869,5.2495662232504339
2019-05-24,1.5,5.0285714285714285
2019-05-27,3,3.5
2019-05-28,2.1666666666666665,3.7722048066875655
2019-05-29,1.5,3.3826086956521739
2019-05-30,3.1000000000000001,3.3306451612903225
2019-05-31,0,3.2824999999999998
2019-06-03,0,3.2377622377622379
2019-06-04,1.6923076923076923,3.1960784313725488
2019-06-05,0,3.172268907563025
2019-06-06,0,2.1501014198782959
2019-06-10,2.0270270270270272,1.1206896551724137
2019-06-11,2.064064064064064,1.1000000000000001
2019-06-12,3.2019038743176669,3.5285714285714285
2019-06-13,3.2339235787511647,0.5
2019-06-14,3.263808636222429,1.5
2019-06-17,0.7142857142857143,2.4663594470046082
2019-06-18,3.7637362637362637,1.0806451612903225
2019-06-19,5.1748768472906406,2.661290322580645
2019-06-20,4.1748768472906406,1.6612903225806452
2019-06-21,5.7582101806239736,2.411290322580645
2019-06-24,5.1748768472906406,1.1612903225806452
2019-06-25,3.6748768472906406,2.161290322580645
2019-06-26,3.1748768472906406,0.5
2019-06-27,6.7068965517241388,1.2
2019-06-28,4.7367816091954023,2.2000000000000002
2019-07-01,5.4867816091954023,1.45
2019-07-02,4.5455938697318006,2.2666666666666666
2019-07-03,3.8544061302681993,1.6666666666666667
2019-07-04,2.8544061302681993,1.9793103448275864
2019-07-05,2.7298850574712645,2.0934371523915463
2019-07-08,2.7298850574712645,1.6875
2019-07-09,2.7298850574712645,0.72727272727272729
2019-07-10,2.7298850574712645,2.1721132897603486
